speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
9.6,21.274082525216937,69.12591747478307,134489.39296996896,4.838814223234815,650769.1875773021,15076.918757730215,80153.83751546043,145230.75627319064,210307.67503092086,275384.59378865105,340461.5125463813,405538.43130411144,470615.3500618417,535692.2688195719
9.7,21.25448614697142,69.04551385302858,134451.250039954,4.833185969712001,649827.8953033458,14982.78953033458,79965.57906066916,144948.36859100373,209931.15812133832,274913.9476516729,339896.73718200746,404879.526712342,469862.31624267664,534845.1057730112
9.8,21.234886386346048,68.96511361365395,134413.06691579623,4.827557952955777,648886.8701705291,14888.687017052915,79777.37403410583,144666.06105115873,209554.74806821166,274443.43508526456,339332.12210231746,404220.80911937036,469109.4961364233,533998.1831534762
9.9,21.215283238604947,68.88471676139505,134374.84351155374,4.821930173297654,647946.1124605114,14794.611246051143,79589.22249210229,144383.83373815342,209178.44498420457,273973.0562302557,338767.66747630684,403562.27872235794,468356.88996840914,533151.5012144602
10.0,21.195676699000305,68.8043233009997,134336.57974100727,4.816302631069979,647005.6224555554,14700.562245555542,79401.12449111108,144101.6867366666,208802.24898222217,273502.8112277777,338203.3734733332,402903.9357188887,467604.49796444434,532305.0602099998
10.1,21.176066762772333,68.72393323722767,134298.27551765877,4.810675326605937,646065.4004385272,14606.540043852729,79213.08008770546,143819.62013155816,208426.1601754109,273032.7002192636,337639.2402631163,402245.780306969,466852.3203508218,531458.8603946745
10.2,21.156453425149206,68.64354657485079,134259.9307547304,4.8050482602395554,645125.4466929005,14512.544669290051,79025.0893385801,143537.63400787013,208050.1786771602,272562.72334645025,337075.26801574026,401587.81268503034,466100.3573543204,530612.9020236104
10.3,21.136836681347035,68.56316331865297,134221.54536516307,4.799421432305707,644185.7615027564,14418.576150275643,78837.15230055129,143255.72845082692,207674.30460110257,272092.8807513782,336511.45690165384,400930.03305192944,465348.60920220515,529767.1853524807
10.4,21.117216526569802,68.48278347343019,134183.11926161553,4.793794843140113,643246.3451527874,14324.63451527874,78649.26903055748,142973.90354583622,207298.53806111496,271623.1725763937,335947.80709167244,400272.4416069512,464597.0761222299,528921.7106375087
10.5,21.097592956009343,68.40240704399065,134144.65235646287,4.788168493079345,642307.1979282974,14230.719792829746,78461.4395856595,142692.15937848922,206922.879171319,271153.5989641487,335384.31875697843,399615.0385498082,463845.758342638,528076.4781354677
