distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-5.3,loc=52.0,scale=7.0)",-5.333333333333333,52.0,7.0,46.463036628883145,4.392526613931588,53.2,12.318031902401945,34.481968097598056,0.888,190492.75391947676
"SkewNormal(a=-5.3,loc=56.0,scale=7.0)",-5.333333333333333,56.0,7.0,50.49181141773818,4.367933641762443,56.6,11.572514735641453,31.82748526435855,0.8792,164889.48587135418
"SkewNormal(a=-5.3,loc=60.0,scale=7.0)",-5.333333333333333,60.0,7.0,54.67385850264566,4.1668757674122325,60.2,10.772335682218799,29.027664317781202,0.8648,137768.2753100839
"SkewNormal(a=-5.3,loc=64.0,scale=7.0)",-5.333333333333333,64.0,7.0,58.30213581754012,4.369755354348889,64.1,9.891451404971123,26.008548595028884,0.8632,112630.83694530098
"SkewNormal(a=-5.3,loc=68.0,scale=7.0)",-5.333333333333333,68.0,7.0,62.375322590161055,4.417472122101616,67.8,9.040456455873315,23.15954354412669,0.8544,88456.31317356808
"SkewNormal(a=-4.2,loc=32.0,scale=7.0)",-4.222222222222221,32.0,7.0,26.636357853391075,4.267088064285948,33.6,16.461219533718957,49.93878046628104,0.888,334732.83015253715
"SkewNormal(a=-4.2,loc=36.0,scale=7.0)",-4.222222222222221,36.0,7.0,30.487527814161062,4.316267439983837,37.1,15.737926448722058,47.162073551277935,0.8848,306676.28173760505
"SkewNormal(a=-4.2,loc=40.0,scale=7.0)",-4.222222222222221,40.0,7.0,34.64220635758084,4.383907624830698,41.3,14.861286476869092,43.838713523130906,0.8856,275506.59336647106
"SkewNormal(a=-4.2,loc=44.0,scale=7.0)",-4.222222222222221,44.0,7.0,38.44602810465485,4.5638795689606715,45.1,14.059287806517775,40.840712193482226,0.876,244327.7941946995
"SkewNormal(a=-4.2,loc=48.0,scale=7.0)",-4.222222222222221,48.0,7.0,42.44288821826507,4.486126341102494,49.0,13.226635008326916,37.77336499167308,0.88,217729.86685087276
"SkewNormal(a=-4.2,loc=52.0,scale=7.0)",-4.222222222222221,52.0,7.0,46.968633366720184,4.245037155620914,52.9,12.383369061603808,34.716630938396186,0.8736,188653.22391316877
"SkewNormal(a=-4.2,loc=56.0,scale=7.0)",-4.222222222222221,56.0,7.0,50.74896592323214,4.412660025317927,56.8,11.528362238189981,31.671637761810018,0.8632,159654.0046044575
"SkewNormal(a=-4.2,loc=60.0,scale=7.0)",-4.222222222222221,60.0,7.0,54.58460576183161,4.380006754619374,60.6,10.682688479728927,28.717311520271075,0.8696,136212.6937634771
"SkewNormal(a=-4.2,loc=64.0,scale=7.0)",-4.222222222222221,64.0,7.0,58.802081473334084,4.452414697464856,65.4,9.594254802138751,25.005745197861245,0.8784000000000001,107270.22402975886
"SkewNormal(a=-4.2,loc=68.0,scale=7.0)",-4.222222222222221,68.0,7.0,62.629436077094795,4.492009406136742,69.0,8.760903661941999,22.239096338058005,0.8752,84523.00006545233
